Field=Fitted~String~Fitted~100|Field=Designator~String~Designator~144|Field=Quantity~Integer~Quantity~83|Field=OPI_VID~String~OPI_VID~50|Field=Description~String~Description~237|Field=Manufacturer~String~Manufacturer~159|Field=Manufacturer Part Number~String~Manufacturer Part Number~154|Field=Footprint~String~Footprint~115|Field=Comment~String~Comment~66|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~CNEPuckRevF.PrjPcb|ReportField=ProjectFullPath~N:\LloydJ\CNEPuckRevF\CNEPuckRevF.PrjPcb|ReportField=Title~BoM_CNE For Variant [Variant to Contract Manufacturer] of Project [CNEPuckRevF.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~153|ReportField=ReportTime~7:27:39 AM|ReportField=ReportDate~19/12/2014|ReportField=ReportDateTime~19/12/2014 7:27:39 AM|ReportField=OutputName~BoM_CNE|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Variant to Contract Manufacturer|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~JDV|ReportField=CheckedBy~|ReportField=CompanyName~OPIsystems Inc|ReportField=CurrentDate~19/12/2014|ReportField=CurrentTime~7:26:30 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~N:\LloydJ\CNEPuckRevF\CNEPuckCPURevF.SchDoc|ReportField=DocumentName~CNEPuckCPURevF.SchDoc|ReportField=DocumentNumber~CNE|ReportField=DrawnBy~JDV|ReportField=Engineer~JDV|ReportField=ImagePath~|ReportField=ModifiedDate~19/12/2014|ReportField=Organization~OPIsystems Inc|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.70|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=4318|PaperWidth=2794|Scale=100|PaperSource=7|PrintQuality=600|MediaType=1|DitherType=10|PaperKind=11x17|PrintScaleMode=1|ReportField=ProjectName~CNEPuckRevF.PrjPcb|ReportField=Revision~Rev F|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~3|ReportField=Time~|ReportField=Title~Cable Node Expansion Puck|ReportField=DataSourceFileName~CNEPuckRevF.PrjPcb|ReportField=DataSourceFullPath~N:\LloydJ\CNEPuckRevF\CNEPuckRevF.PrjPcb
Fitted|C1, C3|2|101353|CAP CER 6.8PF 50V NP0 0603|TDK Corporation|C1608C0G1H6R8D|RC0603|6.8pF
Fitted|C2, C9, C10|3|101354|CAP CER 4.7UF 10V 10% X5R 0603|TDK Corporation|C1608X5R1A475K/0.50|RC0603|4.7uF
Fitted|C4, C5|2|101355|CAP CER 20PF 50V 5% NPO 0603|Yageo|CC0603JRNPO9BN200|RC0603|20pF
Fitted|C6, C7, C8, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C40, C41, C42|24|100039|CAP CERM .1UF 10% 16V X7R 0603|AVX Corporation|0603YC104KAT2A|RC0603|0.1uF
Fitted|CONN1, CONN2|2|101356|TERM BLOCK PCB 8POS 3.5MM GREEN|Phoenix Contact|1985250|PTSA1.5/8-3.5-Z|PC-1985250
Fitted|D1, D2, D3, D4, D5, D6, D7, D8|8|101020|SUPPRESSOR ESD 24VDC 0603 SMD|Littelfuse Inc|PGB1010603MR|RC0603|PGB1010603MR
Fitted|D10, D11, D12, D13, D14, D15, D16, D17|8|101019|TVS BIDIRECT 50W SOD523|ON Semiconductor|ESD5B5.0ST1G|SOD-523|ESD5B5.0ST1G
Fitted|D26|1|101482|DIODE SCHOTTKY 40V 30MA SOT323|Diodes Inc|SDMG0340LC-7-F|SOT-323|SDMG0340LC
Fitted|D9, D18, D19, D20, D21, D22, D23, D24, D25|9|101018|DIODE SCHOTTKY 1A 200V PWRDI 123|Diodes Inc|DFLS1200-7|POWERDI-123|DFLS1200-7
Fitted|Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8|8|100638|MOSFET P-CH 20V 2.2A SOT23-3|Vishay/Siliconix|SI2301BDS-T1-E3|SOT23(DGS)|SI2301BDS
Fitted|R1|1|101044|RES 10K OHM 1/10W 5% 0603 SMD|Panasonic Electronic Components|ERJ-3GEYJ103V|RC0603|10K
Fitted|R13, R14, R15, R16, R20, R22, R24, R52, R53, R55, R56|11|101388|RES 2.2K OHM 1/10W 5% 0603 SMD|Panasonic Electronic Components|ERJ-3GEYJ222V|RC0603|2K2
Fitted|R18, R80, R81, R82, R83, R84, R85, R86, R87|9|101335|RES 100K OHM 1/10W 5% 0603 SMD|Panasonic Electronic Components|ERJ-3GEYJ104V|RC0603|100K
Fitted|R19|1|101043|RES 47K OHM 1/10W 5% 0603 SMD|Panasonic - ECG|ERJ-3GEYJ473V|RC0603|47K
Fitted|R2|1|101380|RES 24 OHM 1W 5% 2512 SMD|Vishay/Dale|CRCW251224R0JNEG|RES2512|24R
Fitted|R25|1|101175|RES 4.7K OHM 1/10W 5% 0603 SMD|Panasonic - ECG|ERJ-3GEYJ472V|RC0603|4k7
Fitted|R26, R27, R28, R30, R44|5|101042|RES 0.0 OHM 1/10W 0603 SMD|Panasonic - ECG|ERJ-3GEY0R00V|RC0603|0R
Fitted|R29|1|101357|RES 390 OHM 1/10W 5% 0603 SMD|Panasonic Electronic Components|ERJ-3GEYJ391V|RC0603|390R
