Altium Designer Pick and Place Locations
C:\Users\CodyD\Desktop\Release Vault\CableNodeRevG-Base Variant to Contract Manufacturer\Pick Place\Pick Place for CableNodeRevG(Base Variant to Contract Manufacturer).txt

========================================================================================================================
File Design Information:

Date:       09-09-21
Time:       15:45
Revision:   Not in VersionControl
Variant:    Base Variant to Contract Manufacturer
Units used: mil

Designator Comment                        Layer       Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                      
D15        DDZ5V6ASF-7                    TopLayer    SOD323F                286.879       3417.662      180      "DIODE ZENER 5.42V 500MW SOD323F"                                
D4         DFLS1200-7                     TopLayer    POWERDI-123            326.194       2977.882      90       "DIODE SCHOTTKY 1A 200V PWRDI 123"                               
D5         PGB1010603NR                   TopLayer    RC0603                 391.194       3216.662      90       "SUPPRESSOR ESD 24VDC 0603 SMD"                                  
D6         ESD5B5.0ST1G                   TopLayer    SOD-523                481.194       3226.662      270      "TVS BIDIRECT 50W SOD523"                                        
LED4       GH_JTLPS1.24-K5L2-1-1-150-R33  BottomLayer GHJTLPS124K5L211150R33 848.119       3866.622      0        LED                                                              
LED3       GH_JTLPS1.14-MFN8-25-1-150-R33 TopLayer    GHJTLPS124K5L211150R33 847.008       3854.763      0        LED                                                              
LED2       GH_JTLPS1.14-MFN8-25-1-150-R33 BottomLayer GHJTLPS124K5L211150R33 3053.528      3866.582      180      LED                                                              
LED1       GH_JTLPS1.24-K5L2-1-1-150-R33  TopLayer    GHJTLPS124K5L211150R33 3053.470      3878.221      180      LED                                                              
U11        TPS3808G01DBV                  TopLayer    SOT95P270X145-6N       1891.258      3990.000      90       "Low Quiescent Current, Programmable-Delay  Supervisory Circuit" 
R65        715K                           TopLayer    RC0603                 1950.000      4200.000      270      "RES 715K OHM 1/10W 1% 0603 SMD"                                 
R64        3M65                           TopLayer    rc0603                 1800.000      4200.000      270      "RES 3M65 OHM 1/10W 1% 0603 SMD"                                 
R69        10K                            TopLayer    RC0603                 2411.477      4396.000      0        "RES 10K OHM 1/10W 5% 0603 SMD"                                  
R55        4k7                            TopLayer    rc0603                 2410.000      4080.000      180      "RES 4.7K OHM 1/10W 5% 0603 SMD"                                 
R68        4k7                            TopLayer    rc0603                 2411.204      4238.000      0        "RES 4.7K OHM 1/10W 5% 0603 SMD"                                 
C54        10nF                           TopLayer    RC0603                 2025.869      4200.000      270      "CAP CER 10000PF 50V 10% X7R 0603"                               
C51        0.1uF                          TopLayer    RC0603                 1760.000      4000.000      90       "CAP CERM .1UF 10% 16V X7R 0603"                                 
C50        10nF                           TopLayer    RC0603                 2100.000      4200.000      270      "CAP CER 10000PF 50V 10% X7R 0603"                               
U9         NLAS4157D                      BottomLayer TS5A3160               2300.000      4275.000      0        "IC SWITCH SPDT SC88"                                            
R62        1K                             BottomLayer RC0603                 2418.157      4125.000      270      "RES 1.0K OHM 1/10W 5% 0603 SMD"                                 
R60        100R                           BottomLayer RC0603                 2115.000      4317.000      180      "RES 100 OHM 1/10W 5% 0603 SMD"                                  
R47        100R                           BottomLayer RC0603                 2417.933      3968.307      90       "RES 100 OHM 1/10W 5% 0603 SMD"                                  
Q6         MMBFJ270                       BottomLayer SOT23                  2275.000      3931.890      90       "IC SWITCH P-CHANNEL SOT-23"                                     
R38        432K                           BottomLayer RC0603                 2135.239      3925.000      270      "RES 432K OHM 1/10W 1% 0603 SMD"                                 
R37        715K                           BottomLayer RC0603                 2420.000      3690.000      0        "RES 715K OHM 1/10W 1% 0603 SMD"                                 
R36        1M0                            BottomLayer RC0603                 2050.000      3925.000      270      "RES 1.00M OHM 1/10W 1% 0603 SMD"                                
R35        1M0                            BottomLayer RC0603                 2420.000      3606.000      0        "RES 1.00M OHM 1/10W 1% 0603 SMD"                                
U5         FDG6342L                       BottomLayer TS5A3160               2125.000      3433.457      90       "IC LOAD SWITCH INTEGRATED SC70-6"                               
R18        24R                            BottomLayer RES2512                1857.585      3450.000      180      "RES 24 OHM 1W 5% 2512 SMD"                                      
R15        27R                            BottomLayer RC0603                 2075.000      3582.378      0        "RES 27.0 OHM 1/10W 1% 0603 SMD"                                 
C9         0.1uF                          TopLayer    RC0603                 1920.000      3800.000      90       "CAP CERM .1UF 10% 16V X7R 0603"                                 
R13        1M0                            TopLayer    RESC1608X06N           1850.000      3416.374      0        "RES 1.0M OHM 1/10W 5% 0603 SMD"                                 
R27        100R                           BottomLayer RC0603                 1470.000      3843.000      0        "RES 100 OHM 1/10W 5% 0603 SMD"                                  
R28        100R                           BottomLayer RC0603                 1470.000      3764.000      0        "RES 100 OHM 1/10W 5% 0603 SMD"                                  
R40        100R                           TopLayer    RC0603                 2411.477      4317.000      0        "RES 100 OHM 1/10W 5% 0603 SMD"                                  
R41        100R                           TopLayer    RC0603                 2410.000      3931.890      0        "RES 100 OHM 1/10W 5% 0603 SMD"                                  
D12        BAV99                          TopLayer    SOT23                  2220.000      4125.000      270      "DIODE SW DUAL 75V 350MW SOT23-3"                                
D14        BAV99                          TopLayer    SOT23                  2381.740      3810.000      0        "DIODE SW DUAL 75V 350MW SOT23-3"                                
R51        10K                            BottomLayer RC0603                 1470.000      4160.000      0        "RES 10K OHM 1/10W 5% 0603 SMD"                                  
R52        10K                            BottomLayer RC0603                 1470.000      4080.000      0        "RES 10K OHM 1/10W 5% 0603 SMD"                                  
R53        10K                            BottomLayer RC0603                 1470.000      3920.000      0        "RES 10K OHM 1/10W 5% 0603 SMD"                                  
P7         3M-950512-6102-AR              TopLayer    HEADER1X12-2MM         1345.000      4040.354      270      "CONN SOCKET 12POS 2MM VERT T/H"                                 
P6         3M-950512-6102-AR              TopLayer    HEADER1X12-2MM         2573.000      4040.354      270      "CONN SOCKET 12POS 2MM VERT T/H"                                 
